Source,Article URL,Article Section,Publication Date,Headline (Text),Headline Length,Article Word Count,Scrape Date
ABC News,https://abcnews.go.com/Entertainment/wireStory/corinne-bailey-raes-childrens-book-put-records-draws-122725382,Entertainment,,"Corinne Bailey Rae's first children's book, 'Put Your Records On,' draws upon her musical past",15,216,2025-06-17T14:20:47.275328
ABC News,https://abcnews.go.com/Politics/hawley-effort-expand-nuclear-waste-compensation-program-included/story?id=122812728,Politics,,'Significant' expansion of nuclear waste compensation now in Trump's megabill,10,878,2025-06-17T14:20:47.424207
ABC News,https://abcnews.go.com/Business/wireStory/rescuers-pulling-bodies-water-death-toll-south-africa-122842996,Business,,Rescuers still pulling bodies out of the water as death toll in South Africa floods reaches 86,17,451,2025-06-17T14:20:47.583351
ABC News,https://abcnews.go.com/Business/wireStory/sweden-netherlands-nato-summit-spend-5-gdp-defense-122815247,Business,,"Sweden, Netherlands say before NATO summit they will spend 5% of GDP on defense",14,513,2025-06-17T14:20:47.759180
ABC News,https://abcnews.go.com/US/2-4-ice-detainees-escaped-nj-facility-captured/story?id=122870356,US,,2 of 4 ICE detainees who escaped from NJ facility captured: FBI,12,443,2025-06-17T14:20:47.908189
ABC News,https://abcnews.go.com/International/14-dead-overnight-russian-attack-kyiv-general-staff/story?id=122917940,Technology,,"14 dead in massive overnight Russian attack on Kyiv, Ukraine says",11,520,2025-06-17T14:20:47.995118
ABC News,https://abcnews.go.com/Technology/wireStory/google-offers-buyouts-staff-latest-round-cost-cutting-122726241,Technology,,Google offers buyouts to staff in latest round of cost cutting,11,198,2025-06-17T14:20:48.152526
ABC News,https://abcnews.go.com/Technology/image-giant-volcano-mars-captured-nasa-orbiter/story?id=122690091,Technology,,Image of giant volcano on Mars captured by NASA orbiter,10,240,2025-06-17T14:20:48.316192
ABC News,https://abcnews.go.com/US/minnesota-lawmakers-shooting-suspect-vance-boelter-due-court/story?id=122882740,US,,Chilling details emerge in Minnesota shootings as Vance Boelter faces federal charges: 'Stuff of nightmares',15,1150,2025-06-17T14:20:48.442193
ABC News,https://abcnews.go.com/Business/wireStory/investigators-search-air-india-crash-site-evidence-victims-122804794,Business,,Investigators search the Air India crash site for evidence and more victims,12,787,2025-06-17T14:20:48.611925
ABC News,https://abcnews.go.com/Politics/trump-made-number-claims-la-protests-context/story?id=122748297,Politics,,Trump has made a number of claims about the LA protests. Here is the context.,15,920,2025-06-17T14:20:48.815291
ABC News,https://abcnews.go.com/International/wireStory/kenyas-deputy-police-chief-steps-aside-bloggers-death-122890895,World,,Kenya's deputy police chief steps aside as blogger's death investigated,10,336,2025-06-17T14:20:48.973049
ABC News,https://abcnews.go.com/GMA/Culture/venice-locals-protest-amazon-founder-jeff-bezos-wedding/story?id=122908237,Lifestyle,,Venice locals protest Amazon founder Jeff Bezos' wedding in Italy,10,610,2025-06-17T14:20:49.154611
