Source,Article URL,Article Section,Publication Date,Headline (Text),Headline Length,Article Word Count,Scrape Date
CBS News,https://www.cbsnews.com/news/sleep-difficult-as-you-age-expert-tips-help/,Health,2025-03-03T11:45:00-0500,Why sleep gets more difficult as you age and expert tips to help,13,499,2025-06-17T20:15:27.354519
CBS News,https://www.cbsnews.com/news/pedro-pascal-look-alike-contest-george-gounta/,Politics,2025-06-17T13:29:38-0400,Meet the NYC dad who won a Pedro Pascal look-alike contest and a year of burritos,16,357,2025-06-17T20:15:30.624391
CBS News,https://www.cbsnews.com/news/nasa-delays-commercial-crew-launch-to-assess-space-station-air-leak/,World,2025-06-12T12:14:26-0400,NASA delays commercial crew launch to assess space station air leak,11,791,2025-06-17T20:15:33.290431
CBS News,https://www.cbsnews.com/news/melissa-hortman-parents-harry-linda-patrick-haluptzok-cbs-news-interview/,Health,2025-06-17T21:28:00-0400,Melissa Hortman's parents speak about slain Minnesota lawmaker and husband in first TV interview,14,949,2025-06-17T20:15:36.023641
CBS News,https://www.cbsnews.com/news/amazon-ceo-generative-ai-corporate-workforce/,U.S.,2025-06-17T17:28:45-0400,Amazon CEO says AI agents will soon reduce company's corporate workforce,11,573,2025-06-17T20:15:38.426957
CBS News,https://www.cbsnews.com/news/measles-cases-fully-vaccinated-3-percent-cdc/,Sports,2025-06-17T13:50:00-0400,"At least 3% of measles cases this year were in people who were fully vaccinated, CDC says",17,715,2025-06-17T20:15:42.390938
CBS News,https://www.cbsnews.com/news/fiona-havers-cdc-covid-hospitalization-data-lead-resigns/,World,2025-06-16T18:05:00-0400,CDC official overseeing COVID hospitalization data resigns after RFK Jr.'s vaccine orders,12,668,2025-06-17T20:15:45.879123
CBS News,https://www.cbsnews.com/news/the-traitors-new-season-alan-cummings/,World,2025-06-17T12:47:00-0400,"Inside the addictive world of ""The Traitors"" and Alan Cumming's viral style",12,517,2025-06-17T20:15:49.035806
CBS News,https://www.cbsnews.com/news/private-japanese-lunar-lander-ispace-moon-far-north-resilience-tenacious/,World,2025-06-05T21:16:00-0400,"In second straight failure, Japanese probe makes mission-ending ""hard"" landing on the moon",13,925,2025-06-17T20:15:51.781280
CBS News,https://www.cbsnews.com/news/desi-arnaz-singer-husband-dad-and-the-man-who-invented-tv/,Entertainment,2025-06-15T10:13:23-0400,"Desi Arnaz: Singer, husband, dad, and the man who ""invented"" TV",11,1467,2025-06-17T20:15:55.444336
