source,url,section,pub_date,headline,headline_len,word_count,scrape_date
The Tab,https://thetab.com/2025/06/16/the-chilling-text-alleged-assassin-sent-after-shooting-two-us-politicians-and-their-partners,news,2025-06-16T14:32:22+00:00,The chilling text alleged assassin sent after shooting two US politicians and their partners,14,748,2025-06-16T14:36:51.804770+00:00
The Tab,https://thetab.com/2025/06/16/the-chilling-text-alleged-assassin-sent-after-shooting-two-us-politicians-and-their-partners,news,2025-06-16T14:32:22+00:00,The chilling text alleged assassin sent after shooting two US politicians and their partners,14,748,2025-06-16T14:36:51.973887+00:00
The Tab,https://thetab.com/2025/06/16/new-findings-and-confirmed-victims-all-the-latest-information-about-the-air-india-plane-crash,news,2025-06-16T14:26:53+00:00,New findings and confirmed victims: All the latest information about the Air India plane crash,15,1058,2025-06-16T14:36:52.114570+00:00
The Tab,https://thetab.com/2025/06/16/new-findings-and-confirmed-victims-all-the-latest-information-about-the-air-india-plane-crash,news,2025-06-16T14:26:53+00:00,New findings and confirmed victims: All the latest information about the Air India plane crash,15,1058,2025-06-16T14:36:52.304022+00:00
The Tab,https://thetab.com/2025/06/16/her-toes-were-gone-mum-recalls-horrifying-moment-her-nine-year-old-was-attacked-by-piranhas,news,2025-06-16T11:49:15+00:00,‘Her toes were gone’: Mum recalls horrifying moment her nine-year-old was attacked by piranhas,14,684,2025-06-16T14:36:52.563173+00:00
The Tab,https://thetab.com/2025/06/16/her-toes-were-gone-mum-recalls-horrifying-moment-her-nine-year-old-was-attacked-by-piranhas,news,2025-06-16T11:49:15+00:00,‘Her toes were gone’: Mum recalls horrifying moment her nine-year-old was attacked by piranhas,14,684,2025-06-16T14:36:52.665224+00:00
The Tab,https://thetab.com/2025/06/16/ryanair-is-being-dragged-for-insensitive-tiktoks-about-seat-11a-in-wake-of-air-india-crash,news,2025-06-16T11:26:38+00:00,Ryanair is being dragged for ‘insensitive’ TikToks about seat 11a in wake of Air India crash,16,610,2025-06-16T14:36:52.818954+00:00
The Tab,https://thetab.com/2025/06/16/ryanair-is-being-dragged-for-insensitive-tiktoks-about-seat-11a-in-wake-of-air-india-crash,news,2025-06-16T11:26:38+00:00,Ryanair is being dragged for ‘insensitive’ TikToks about seat 11a in wake of Air India crash,16,610,2025-06-16T14:36:52.978881+00:00
The Tab,https://thetab.com/2025/06/16/two-more-air-india-flights-have-had-to-make-emergency-landings-since-the-devastating-crash,news,2025-06-16T10:50:35+00:00,Two more Air India flights have had to make emergency landings since the devastating crash,15,656,2025-06-16T14:36:53.438828+00:00
The Tab,https://thetab.com/2025/06/16/two-more-air-india-flights-have-had-to-make-emergency-landings-since-the-devastating-crash,news,2025-06-16T10:50:35+00:00,Two more Air India flights have had to make emergency landings since the devastating crash,15,656,2025-06-16T14:36:53.615113+00:00
The Tab,https://thetab.com/2025/06/16/air-india-crash-pilots-heartbreaking-last-words-in-full-revealed-as-cockpit-recordings-are-found,news,2025-06-16T10:11:54+00:00,Air India crash pilot’s heartbreaking last words in full revealed as cockpit recordings are found,15,577,2025-06-16T14:36:53.758585+00:00
The Tab,https://thetab.com/2025/06/16/air-india-crash-pilots-heartbreaking-last-words-in-full-revealed-as-cockpit-recordings-are-found,news,2025-06-16T10:11:54+00:00,Air India crash pilot’s heartbreaking last words in full revealed as cockpit recordings are found,15,577,2025-06-16T14:36:53.922776+00:00
The Tab,https://thetab.com/2025/06/16/crash-analyst-notices-detail-in-new-air-india-footage-that-changes-everything,news,2025-06-16T10:07:28+00:00,Crash analyst notices detail in new Air India footage that ‘changes everything’,12,643,2025-06-16T14:36:54.065215+00:00
The Tab,https://thetab.com/2025/06/16/crash-analyst-notices-detail-in-new-air-india-footage-that-changes-everything,news,2025-06-16T10:07:28+00:00,Crash analyst notices detail in new Air India footage that ‘changes everything’,12,643,2025-06-16T14:36:54.228793+00:00
The Tab,https://thetab.com/2025/06/16/experts-reveal-what-the-safest-seat-on-a-plane-actually-is-after-the-air-india-crash,news,2025-06-16T10:00:36+00:00,Experts reveal what the safest seat on a plane actually is after the Air India crash,16,638,2025-06-16T14:36:54.405433+00:00
The Tab,https://thetab.com/2025/06/16/experts-reveal-what-the-safest-seat-on-a-plane-actually-is-after-the-air-india-crash,news,2025-06-16T10:00:36+00:00,Experts reveal what the safest seat on a plane actually is after the Air India crash,16,638,2025-06-16T14:36:54.518585+00:00
The Tab,https://thetab.com/2025/06/16/all-the-changes-happening-to-glastonbury-2025-following-last-years-extremely-busy-event,entertainment,2025-06-16T14:18:40+00:00,All the changes happening to Glastonbury 2025 following last year’s extremely busy event,13,1024,2025-06-16T14:36:54.907624+00:00
The Tab,https://thetab.com/2025/06/16/all-the-changes-happening-to-glastonbury-2025-following-last-years-extremely-busy-event,entertainment,2025-06-16T14:18:40+00:00,All the changes happening to Glastonbury 2025 following last year’s extremely busy event,13,1024,2025-06-16T14:36:55.048534+00:00
The Tab,https://thetab.com/2025/06/16/ginny-and-georgia-predicted-season-threes-biggest-bombshell-in-the-first-ever-episode,entertainment,2025-06-16T11:29:05+00:00,Ginny and Georgia predicted season three’s biggest bombshell in the first ever episode,13,604,2025-06-16T14:36:55.462450+00:00
The Tab,https://thetab.com/2025/06/16/ginny-and-georgia-predicted-season-threes-biggest-bombshell-in-the-first-ever-episode,entertainment,2025-06-16T11:29:05+00:00,Ginny and Georgia predicted season three’s biggest bombshell in the first ever episode,13,604,2025-06-16T14:36:55.611745+00:00
The Tab,https://thetab.com/2025/06/16/all-the-awkward-details-of-sam-thompson-and-louis-tomlinsons-soccer-aid-meet-without-zara,entertainment,2025-06-16T11:24:39+00:00,All the awkward details of Sam Thompson and Louis Tomlinson’s Soccer Aid meet without Zara,15,835,2025-06-16T14:36:55.763552+00:00
The Tab,https://thetab.com/2025/06/16/all-the-awkward-details-of-sam-thompson-and-louis-tomlinsons-soccer-aid-meet-without-zara,entertainment,2025-06-16T11:24:39+00:00,All the awkward details of Sam Thompson and Louis Tomlinson’s Soccer Aid meet without Zara,15,835,2025-06-16T14:36:55.898665+00:00
The Tab,https://thetab.com/2025/06/16/olivia-rodrigo-to-gracie-abrams-all-the-celebs-at-the-anti-tump-no-kings-protests,entertainment,2025-06-16T10:50:07+00:00,Olivia Rodrigo to Gracie Abrams: All the celebs at the anti-Trump No Kings protests,14,657,2025-06-16T14:36:56.051837+00:00
The Tab,https://thetab.com/2025/06/16/olivia-rodrigo-to-gracie-abrams-all-the-celebs-at-the-anti-tump-no-kings-protests,entertainment,2025-06-16T10:50:07+00:00,Olivia Rodrigo to Gracie Abrams: All the celebs at the anti-Trump No Kings protests,14,657,2025-06-16T14:36:56.280934+00:00
The Tab,https://thetab.com/2025/06/16/ouzy-reveals-hair-transplant-since-love-island-and-people-are-shook-by-the-before-and-after,entertainment,2025-06-16T10:49:04+00:00,Ouzy reveals hair transplant since Love Island and people are shook by the before and after,16,647,2025-06-16T14:36:56.418771+00:00
The Tab,https://thetab.com/2025/06/16/ouzy-reveals-hair-transplant-since-love-island-and-people-are-shook-by-the-before-and-after,entertainment,2025-06-16T10:49:04+00:00,Ouzy reveals hair transplant since Love Island and people are shook by the before and after,16,647,2025-06-16T14:36:56.544771+00:00
The Tab,https://thetab.com/2025/06/13/people-think-this-drag-race-queen-gets-to-the-all-stars-10-semi-finals-because-of-this-spoiler,entertainment,2025-06-13T15:31:28+00:00,People think this Drag Race queen gets to the All Stars 10 semi finals because of this ‘spoiler’,18,631,2025-06-16T14:36:56.708556+00:00
The Tab,https://thetab.com/2025/06/13/people-think-this-drag-race-queen-gets-to-the-all-stars-10-semi-finals-because-of-this-spoiler,entertainment,2025-06-13T15:31:28+00:00,People think this Drag Race queen gets to the All Stars 10 semi finals because of this ‘spoiler’,18,631,2025-06-16T14:36:56.865473+00:00
The Tab,https://thetab.com/2025/06/13/heres-what-happened-to-the-remains-of-the-five-oceangate-titan-victims,entertainment,2025-06-13T15:22:56+00:00,Here’s what happened to the remains of the five OceanGate Titan victims,12,647,2025-06-16T14:36:56.978523+00:00
The Tab,https://thetab.com/2025/06/13/heres-what-happened-to-the-remains-of-the-five-oceangate-titan-victims,entertainment,2025-06-13T15:22:56+00:00,Here’s what happened to the remains of the five OceanGate Titan victims,12,647,2025-06-16T14:36:57.167484+00:00
The Tab,https://thetab.com/2025/06/13/everyones-desperate-to-know-so-this-is-the-notorious-sex-shop-love-islands-blus-mum-owns,entertainment,2025-06-13T14:55:58+00:00,"Everyone’s desperate to know, so this is the notorious sex shop Love Island’s Blu’s mum owns",16,582,2025-06-16T14:36:57.424236+00:00
The Tab,https://thetab.com/2025/06/13/everyones-desperate-to-know-so-this-is-the-notorious-sex-shop-love-islands-blus-mum-owns,entertainment,2025-06-13T14:55:58+00:00,"Everyone’s desperate to know, so this is the notorious sex shop Love Island’s Blu’s mum owns",16,582,2025-06-16T14:36:57.579230+00:00
The Tab,https://thetab.com/2025/06/16/onlyfanss-lily-phillips-shares-behind-the-scenes-details-of-her-gross-fluid-bank-challenge,trends,2025-06-16T11:58:01+00:00,OnlyFans’s Lily Phillips shares behind-the-scenes details of her gross ‘fluid bank’ challenge,12,733,2025-06-16T14:36:57.867403+00:00
The Tab,https://thetab.com/2025/06/16/onlyfanss-lily-phillips-shares-behind-the-scenes-details-of-her-gross-fluid-bank-challenge,trends,2025-06-16T11:58:01+00:00,OnlyFans’s Lily Phillips shares behind-the-scenes details of her gross ‘fluid bank’ challenge,12,733,2025-06-16T14:36:57.983759+00:00
The Tab,https://thetab.com/2025/06/16/heres-what-happens-next-after-tattle-lifes-founder-was-named-and-assets-frozen,trends,2025-06-16T11:17:36+00:00,Here’s what happens next after Tattle Life’s founder was named and assets frozen,13,760,2025-06-16T14:36:58.148819+00:00
The Tab,https://thetab.com/2025/06/16/heres-what-happens-next-after-tattle-lifes-founder-was-named-and-assets-frozen,trends,2025-06-16T11:17:36+00:00,Here’s what happens next after Tattle Life’s founder was named and assets frozen,13,760,2025-06-16T14:36:58.269046+00:00
The Tab,https://thetab.com/2025/06/13/heres-what-the-taken-by-police-tiktok-trend-actually-is-and-how-to-do-it-yourself,trends,2025-06-13T15:43:15+00:00,Here’s what the taken by police TikTok trend actually is – and how to do it yourself,17,961,2025-06-16T14:36:58.456018+00:00
The Tab,https://thetab.com/2025/06/13/heres-what-the-taken-by-police-tiktok-trend-actually-is-and-how-to-do-it-yourself,trends,2025-06-13T15:43:15+00:00,Here’s what the taken by police TikTok trend actually is – and how to do it yourself,17,961,2025-06-16T14:36:58.678844+00:00
The Tab,https://thetab.com/2025/06/13/from-turquoise-waters-to-stunning-sunsets-why-everyones-going-to-albania-this-summer,trends,2025-06-13T13:21:12+00:00,From turquoise waters to stunning sunsets: Why everyone’s going to Albania this summer,13,843,2025-06-16T14:36:58.942780+00:00
The Tab,https://thetab.com/2025/06/13/from-turquoise-waters-to-stunning-sunsets-why-everyones-going-to-albania-this-summer,trends,2025-06-13T13:21:12+00:00,From turquoise waters to stunning sunsets: Why everyone’s going to Albania this summer,13,843,2025-06-16T14:36:59.058572+00:00
The Tab,https://thetab.com/2025/06/13/one-year-of-hawk-tuah-everything-that-went-down-with-hailey-welch-returning-to-the-internet,trends,2025-06-13T11:28:37+00:00,One year of Hawk Tuah: Everything that went down with Hailey Welch returning to the internet,16,879,2025-06-16T14:36:59.205056+00:00
The Tab,https://thetab.com/2025/06/13/one-year-of-hawk-tuah-everything-that-went-down-with-hailey-welch-returning-to-the-internet,trends,2025-06-13T11:28:37+00:00,One year of Hawk Tuah: Everything that went down with Hailey Welch returning to the internet,16,879,2025-06-16T14:36:59.324706+00:00
The Tab,https://thetab.com/2025/06/13/how-to-pull-off-instagrams-controversial-new-feature-that-lets-you-rearrange-your-grid,trends,2025-06-13T10:53:36+00:00,How to pull off Instagram’s controversial new feature that lets you rearrange your grid,14,679,2025-06-16T14:36:59.526351+00:00
The Tab,https://thetab.com/2025/06/13/how-to-pull-off-instagrams-controversial-new-feature-that-lets-you-rearrange-your-grid,trends,2025-06-13T10:53:36+00:00,How to pull off Instagram’s controversial new feature that lets you rearrange your grid,14,679,2025-06-16T14:36:59.659918+00:00
The Tab,https://thetab.com/2025/06/13/heres-how-to-do-the-new-instagram-feature-that-links-what-youre-listening-to-on-spotify,trends,2025-06-13T10:21:26+00:00,Here’s how to do the new Instagram feature that links what you’re listening to on Spotify,16,587,2025-06-16T14:36:59.785472+00:00
The Tab,https://thetab.com/2025/06/13/heres-how-to-do-the-new-instagram-feature-that-links-what-youre-listening-to-on-spotify,trends,2025-06-13T10:21:26+00:00,Here’s how to do the new Instagram feature that links what you’re listening to on Spotify,16,587,2025-06-16T14:36:59.968549+00:00
The Tab,https://thetab.com/2025/06/13/so-these-are-the-worlds-safest-and-least-safe-airlines-for-2025-according-to-aviation-experts,trends,2025-06-13T10:20:43+00:00,"So, these are the world’s safest and least safe airlines for 2025, according to aviation experts",16,870,2025-06-16T14:37:00.091684+00:00
The Tab,https://thetab.com/2025/06/13/so-these-are-the-worlds-safest-and-least-safe-airlines-for-2025-according-to-aviation-experts,trends,2025-06-13T10:20:43+00:00,"So, these are the world’s safest and least safe airlines for 2025, according to aviation experts",16,870,2025-06-16T14:37:00.260789+00:00
The Tab,https://thetab.com/2025/05/07/comparing-all-the-newly-confirmed-gta-vi-cities-to-the-real-florida-locations-theyre-based-on,gaming,2025-05-07T15:59:13+00:00,Comparing all the newly confirmed GTA VI cities to the real Florida locations they’re based on,16,978,2025-06-16T14:37:01.235778+00:00
The Tab,https://thetab.com/2025/05/07/comparing-all-the-newly-confirmed-gta-vi-cities-to-the-real-florida-locations-theyre-based-on,gaming,2025-05-07T15:59:13+00:00,Comparing all the newly confirmed GTA VI cities to the real Florida locations they’re based on,16,978,2025-06-16T14:37:01.360788+00:00
The Tab,https://thetab.com/2025/05/07/seven-juicy-hidden-details-you-definitely-missed-in-the-gta-vi-trailer-two,gaming,2025-05-07T13:07:46+00:00,Seven juicy hidden details you definitely missed in the GTA VI trailer two,13,736,2025-06-16T14:37:02.252949+00:00
The Tab,https://thetab.com/2025/05/07/seven-juicy-hidden-details-you-definitely-missed-in-the-gta-vi-trailer-two,gaming,2025-05-07T13:07:46+00:00,Seven juicy hidden details you definitely missed in the GTA VI trailer two,13,736,2025-06-16T14:37:02.404610+00:00
The Tab,https://thetab.com/2025/05/01/ranking-all-the-recent-video-game-adaptations-by-their-chaotic-scores-on-rotten-tomatoes,gaming,2025-05-01T15:53:13+00:00,Ranking all the recent video game adaptations by their chaotic scores on Rotten Tomatoes,14,1177,2025-06-16T14:37:03.179333+00:00
The Tab,https://thetab.com/2025/05/01/ranking-all-the-recent-video-game-adaptations-by-their-chaotic-scores-on-rotten-tomatoes,gaming,2025-05-01T15:53:13+00:00,Ranking all the recent video game adaptations by their chaotic scores on Rotten Tomatoes,14,1177,2025-06-16T14:37:03.321974+00:00
The Tab,https://thetab.com/2025/04/10/a-notorious-racist-meme-is-being-used-in-assassins-creed-shadows-gameplay-and-it-needs-to-stop,gaming,2025-04-10T10:11:51+00:00,A notorious racist meme is being used in Assassin’s Creed Shadows gameplay and it needs to stop,17,875,2025-06-16T14:37:04.018088+00:00
The Tab,https://thetab.com/2025/04/10/a-notorious-racist-meme-is-being-used-in-assassins-creed-shadows-gameplay-and-it-needs-to-stop,gaming,2025-04-10T10:11:51+00:00,A notorious racist meme is being used in Assassin’s Creed Shadows gameplay and it needs to stop,17,875,2025-06-16T14:37:04.128685+00:00
The Tab,https://thetab.com/2025/04/04/a-comprehensive-look-at-the-insane-number-of-mario-kart-world-characters-in-the-game-so-far,gaming,2025-04-04T15:24:46+00:00,A comprehensive look at the insane number of Mario Kart World characters in game so far,16,645,2025-06-16T14:37:05.002821+00:00
The Tab,https://thetab.com/2025/04/04/a-comprehensive-look-at-the-insane-number-of-mario-kart-world-characters-in-the-game-so-far,gaming,2025-04-04T15:24:46+00:00,A comprehensive look at the insane number of Mario Kart World characters in game so far,16,645,2025-06-16T14:37:05.138852+00:00
The Tab,https://thetab.com/2025/04/04/pauline-botched-rosalina-skint-the-mario-kart-girlies-have-gone-viral-and-and-caused-chaos,gaming,2025-04-04T11:18:28+00:00,"Pauline ‘botched’, Rosalina skint: The Mario Kart girlies have gone viral and and caused chaos",15,717,2025-06-16T14:37:05.388749+00:00
